Source,Target,Relationship
Cam,My Mistake,Created
Kevin Fowler,That Girl,Created
Roger Miller,Chug-A-Lug,Created
M. Ward,Chinese Translation,Created
Chris Cagle,Anywhere But Here,Created
Cassadee Pope,I Wish I Could Break Your Heart,Created
Mark Chesnutt,Too Cold At Home,Created
Gary Allan,Get Off On The Pain,Created
"Hank Williams, Jr.",Old Habits,Created
Ryan Adams,When The Stars Go Blue,Created
Jason Aldean,Fast,Created
Adam Sanders,Sippin' on the Good Times,Created
Linda Ronstadt,Don't Know Much (with Aaron Neville),Created
Tommy Chayne,King of the Pines (feat. Upchurch),Created
The Reklaws,Long Live The Night,Created
Pistol Annies,Sugar Daddy,Created
Carrie Underwood,Chaser,Created
Colter Wall,Thinkin' on a Woman,Created
Bobby Bare,The Winner,Created
Chris Lane,Laps Around The Sun,Created
Holly Dunn,Daddy's Hands,Created
Brooks & Dunn,Proud of the House We Built,Created
Blake Shelton,100 Miles,Created
Miranda Lambert,Things That Break,Created
Blake Shelton,Never Lovin' You,Created
Sonny Bama,Lady Karma,Created
America,I Need You,Created
Gone West,Confetti,Created
Morgan Wallen,Yin Yang Girl,Created
Jamey Johnson,Playing The Part,Created
Adam Sanders,About To,Created
Morgan Wallen,Man of the South,Created
Dolly Parton,Push and Pull - from the Dumplin' Original Motion Picture Soundtrack,Created
Anne Murray,Could I Have This Dance,Created
Conway Twitty,It's Only Make Believe,Created
Merle Haggard,"Twinkle, Twinkle Lucky Star",Created
Gillian Welch,Everything Is Free,Created
Cal Smith,Country Bumpkin,Created
Blake Shelton,The Baby,Created
Brad Paisley,You'll Never Leave Harlan Alive,Created
Ryan Bingham,Pontiac,Created
Cash Campbell,Don't Wanna Think About It - Acoustic,Created
Casey Donahew,Feels This Right,Created
Sam Hunt,Vacation - Acoustic Mixtape,Created
Mitchell Tenpenny,If the Boot Fits - Acoustic,Created
Chris Lane,One Girl,Created
Andrew Hyatt,My Kind Of Crazy,Created
Sturgill Simpson,It Ain't All Flowers,Created
Travis Tritt,Can I Trust You With My Heart - 2006 Remastered Version,Created
Josh Ward,Between An Old Memory & Me,Created
Luke Bryan,Like We Ain't Ever,Created
"Crosby, Stills & Nash",Love the One You're With,Created
Keith Urban,Boy Gets A Truck,Created
Dr. Hook,Cover of the Rolling Stone,Created
Tim McGraw,My Old Friend,Created
Luke Bryan,My Ol' Bronco,Created
The Lacs,Make Things Right,Created
Chase Rice,U Turn,Created
Eli Young Band,Small Town Kid,Created
Kip Moore,Drive Me Crazy,Created
Lee Brice,You Can't Help Who You Love,Created
Alabama,Feels So Right,Created
Jelly Roll,Killin' Me,Created
Justin Moore,Back That Thing Up,Created
Jake Owen,Keepin' It Country,Created
Little Big Town,Beat Up Bible,Created
Tyler Farr,Suffer in Peace,Created
Bachman-Turner Overdrive,Let It Ride,Created
Dead Man Winter,Destroyer,Created
Bo Phillips,Peace on Earth,Created
Chris Janson,Redneck Life,Created
Jim James,Here In Spirit,Created
Stephanie Quayle,If I Was a Cowboy,Created
Kip Moore,Reckless (Still Growin' Up),Created
Trace Adkins,Jesus and Jones,Created
Vern Gosdin,Set 'Em Up Joe,Created
Kelsea Ballerini,Machine Heart,Created
LeAnn Rimes,One Way Ticket (Because I Can),Created
Montgomery Gentry,Where I Come From (Remix) [feat. Colt Ford & The Lacs],Created
Josh Abbott Band,Kinda Missing You,Created
Demun Jones,World Went to Waste,Created
Fred Eaglesmith,Trucker Speed,Created
Dwight Yoakam,"Guitars, Cadillacs - Remastered",Created
Alabama,40 Hour Week (For A Livin'),Created
Tyler Farr,"Chicks, Trucks, and Beer - feat. Colt Ford",Created
Darius Rucker,Twenty Something,Created
Zac Brown Band,The Wind - Greatest Hits Version,Created
Tanya Tucker,Love Me Like You Used To,Created
Kristian Bush,Trailer Hitch,Created
Aaron Lewis,Stuck In These Shoes,Created
Turnpike Troubadours,The Winding Stair Mountain Blues,Created
Sunny Sweeney,From A Table Away,Created
George Jones,Golden Ring,Created
King Calaway,Rivers,Created
Todd Rundgren,I Saw the Light,Created
Clint Black,Put Yourself In My Shoes,Created
Phil Vassar,In a Real Love,Created
Willie Nelson,Hello Walls,Created
Craig Morgan,More Trucks Than Cars,Created
Lorrie Morgan,Except for Monday,Created
A Thousand Horses,My Time's Comin',Created
David Allan Coe,Roll On 18 Wheeler,Created
Turnpike Troubadours,Come as You Are,Created
Cole Swindell,Get Me Some of That,Created
Upchurch,Welcome to the Country,Created
Jimmie Allen,Warrior,Created
Chris Smither,Cave Man,Created
Dylan Scott,Thinking Out Loud,Created
Haley & Michaels,All Out,Created
Kenny Chesney,Beer Can Chicken,Created
Thomas Rhett,Front Porch Junkies - Remix,Created
Nick Wayne,If You Ever Wanna,Created
Big & Rich,Lost in This Moment,Created
The Stixxx,Simple Man,Created
Phil Vassar,Second Avenue,Created
Blackfoot,Highway Song,Created
Martina McBride,Anyway,Created
The Avett Brothers,The Ballad of Love and Hate,Created
Big Smo,Bumpy Road,Created
